diameter,distance from bottom
0.418439716,1.310638298
0.40070922,1.328368794
0.386524823,1.335460993
0.386524823,1.328368794
0.397163121,1.328368794
0.418439716,1.303546099
0.386524823,1.342553191
0.390070922,1.317730496
0.411347518,1.310638298
0.386524823,1.324822695
0.40070922,1.353191489
0.40070922,1.342553191
0.414893617,1.367375887
0.382978723,1.346099291
0.375886525,1.339007092
0.379432624,1.342553191
0.382978723,1.331914894
0.379432624,1.335460993
0.375886525,1.342553191
0.375886525,1.342553191
0.382978723,1.328368794
0.404255319,1.353191489
0.390070922,1.3
0.393617021,1.324822695
0.40070922,1.34964539
0.379432624,1.331914894
0.365248227,1.324822695
0.365248227,1.324822695
0.372340426,1.339007092
0.379432624,1.342553191
0.372340426,1.324822695
0.368794326,1.328368794
0.372340426,1.342553191
0.375886525,1.339007092
0.375886525,1.335460993
0.368794326,1.339007092
0.379432624,1.314184397
0.372340426,1.335460993
0.4,1.3
0.4,1.25
0.365248227,1.321276596
0.379432624,1.328368794
0.379432624,1.285815603
0.379432624,1.303546099
0.382978723,1.282269504
0.382978723,1.292907801
0.375886525,1.3
0.386524823,1.292907801
0.386524823,1.310638298
0.386524823,1.310638298
0.386524823,1.285815603
0.397163121,1.275177305
0.379432624,1.239716312
0.411347518,1.275177305
0.393617021,1.278723404
0.382978723,1.268085106
0.386524823,1.275177305
0.40070922,1.260992908
0.397163121,1.271631206
0.393617021,1.264539007
0.393617021,1.289361702
0.404255319,1.271631206
0.411347518,1.278723404
0.386524823,1.257446809
0.407801418,1.257446809
0.397163121,1.282269504
0.40070922,1.264539007
0.40070922,1.275177305
0.40070922,1.257446809
0.407801418,1.285815603
0.397163121,1.264539007
0.411347518,1.275177305
0.404255319,1.278723404
0.397163121,1.275177305
0.432624113,1.3
0.432624113,1.3
0.414893617,1.278723404
0.411347518,1.321276596
0.407801418,1.317730496
0.421985816,1.278723404
0.429078014,1.307092199
0.418439716,1.310638298
0.411347518,1.310638298
0.411347518,1.310638298
0.407801418,1.321276596
0.425531915,1.324822695
0.411347518,1.342553191
0.407801418,1.321276596
0.40070922,1.342553191
0.411347518,1.328368794
0.404255319,1.353191489
0.407801418,1.356737589
0.393617021,1.356737589
0.393617021,1.356737589
0.432624113,1.381560284
0.414893617,1.363829787
0.411347518,1.363829787
0.40070922,1.363829787
0.418439716,1.374468085
0.411347518,1.363829787
0.411347518,1.374468085
0.421985816,1.378014184
0.425531915,1.385106383
0.404255319,1.406382979
0.393617021,1.378014184
0.407801418,1.406382979
0.390070922,1.388652482
0.404255319,1.385106383
0.411347518,1.39929078
0.40070922,1.406382979
0.397163121,1.409929078
0.40070922,1.39929078
0.397163121,1.413475177
0.397163121,1.39929078
0.368794326,1.413475177
0.368794326,1.413475177
0.368794326,1.424113475
0.393617021,1.39929078
0.393617021,1.370921986
0.397163121,1.395744681
0.365248227,1.385106383
0.386524823,1.388652482
0.368794326,1.417021277
0.386524823,1.406382979
0.390070922,1.392198582
0.382978723,1.395744681
0.382978723,1.381560284
0.393617021,1.370921986
0.382978723,1.388652482
0.382978723,1.356737589
0.382978723,1.360283688
0.390070922,1.363829787
0.368794326,1.374468085
0.365248227,1.360283688
0.368794326,1.346099291
0.372340426,1.356737589
0.375886525,1.34964539
0.393617021,1.370921986
0.397163121,1.367375887
0.379432624,1.34964539
0.375886525,1.342553191
0.375886525,1.335460993
0.379432624,1.34964539
0.375886525,1.342553191
0.372340426,1.339007092
0.382978723,1.34964539
0.375886525,1.339007092
0.386524823,1.353191489
0.404255319,1.3
0.382978723,1.342553191
0.375886525,1.335460993
0.375886525,1.335460993
0.386524823,1.324822695
0.382978723,1.342553191
0.379432624,1.331914894
0.379432624,1.328368794
0.386524823,1.321276596
0.375886525,1.335460993
0.397163121,1.317730496
0.404255319,1.310638298
0.386524823,1.335460993
0.379432624,1.335460993
0.379432624,1.331914894
0.40070922,1.317730496
0.386524823,1.335460993
0.390070922,1.321276596
0.382978723,1.331914894
0.40070922,1.324822695
0.411347518,1.310638298
0.404255319,1.314184397
0.379432624,1.342553191
0.390070922,1.310638298
0.375886525,1.317730496
0.386524823,1.339007092
0.407801418,1.321276596
0.382978723,1.328368794
0.40070922,1.307092199
0.382978723,1.328368794
0.40070922,1.314184397
0.407801418,1.317730496
0.40070922,1.317730496
0.404255319,1.339007092
0.393617021,1.353191489
0.393617021,1.353191489
0.393617021,1.321276596
0.379432624,1.335460993
0.390070922,1.324822695
0.407801418,1.314184397
0.375886525,1.331914894
0.379432624,1.328368794
0.372340426,1.342553191
0.382978723,1.342553191
0.386524823,1.335460993
0.375886525,1.331914894
0.40070922,1.317730496
0.386524823,1.339007092
0.379432624,1.335460993
0.393617021,1.324822695
0.390070922,1.324822695
0.390070922,1.324822695
0.411347518,1.317730496
0.382978723,1.335460993
0.496453901,1.342553191
0.496453901,1.342553191
